"Exception","animations/iwp-packaged/Charged Particle Motion/pitch1-para.iwp","Error: Undefined symbol ar in <eval> at line number 707 at column number 12"
"result","path","totalFrames","framesWithDifferences","totalDifferences","framesWithLeftMissing","framesWithRightMissing","totalLeftMissing","totalRightMissing"
"Complete","animations/iwp-packaged/Charged Particle Motion/em-ratio-1d.iwp","202","200","1120","1","1","2613","402"
"Exception","animations/iwp-packaged/Charged Particle Motion/em-ratio-3.iwp","null"
"result","path","totalFrames","framesWithDifferences","totalDifferences","framesWithLeftMissing","framesWithRightMissing","totalLeftMissing","totalRightMissing"
"Complete","animations/iwp-packaged/Charged Particle Motion/em-ratio-2d.iwp","202","201","2836","1","1","4221","201"
"result","path","totalFrames","framesWithDifferences","totalDifferences","framesWithLeftMissing","framesWithRightMissing","totalLeftMissing","totalRightMissing"
"Complete","animations/iwp-packaged/Charged Particle Motion/cpchall04.iwp","1001","805","805","1","1","5000","0"
"result","path","totalFrames","framesWithDifferences","totalDifferences","framesWithLeftMissing","framesWithRightMissing","totalLeftMissing","totalRightMissing"
"Complete","animations/iwp-packaged/Charged Particle Motion/cp-efield-02.iwp","402","1","4","1","1","3609","1203"
"Exception","animations/iwp-packaged/Charged Particle Motion/em-ratio-2c.iwp","null"
"result","path","totalFrames","framesWithDifferences","totalDifferences","framesWithLeftMissing","framesWithRightMissing","totalLeftMissing","totalRightMissing"
"Complete","animations/iwp-packaged/Charged Particle Motion/cp-mfield-02.iwp","1001","834","1620","1","1","9000","3000"
"result","path","totalFrames","framesWithDifferences","totalDifferences","framesWithLeftMissing","framesWithRightMissing","totalLeftMissing","totalRightMissing"
"Complete","animations/iwp-packaged/Charged Particle Motion/em-ratio-2.iwp","202","201","2836","1","1","4221","201"
"result","path","totalFrames","framesWithDifferences","totalDifferences","framesWithLeftMissing","framesWithRightMissing","totalLeftMissing","totalRightMissing"
"Complete","animations/iwp-packaged/Charged Particle Motion/cpchall01.iwp","1001","805","805","1","1","5000","0"
"result","path","totalFrames","framesWithDifferences","totalDifferences","framesWithLeftMissing","framesWithRightMissing","totalLeftMissing","totalRightMissing"
"Complete","animations/iwp-packaged/Charged Particle Motion/cp-efield.iwp","402","1","4","1","1","4411","1203"
"result","path","totalFrames","framesWithDifferences","totalDifferences","framesWithLeftMissing","framesWithRightMissing","totalLeftMissing","totalRightMissing"
"Complete","animations/iwp-packaged/Charged Particle Motion/em-ratio-1c.iwp","202","188","305","1","1","1809","603"
"result","path","totalFrames","framesWithDifferences","totalDifferences","framesWithLeftMissing","framesWithRightMissing","totalLeftMissing","totalRightMissing"
"Complete","animations/iwp-packaged/Charged Particle Motion/velocity-selector.iwp","402","304","586","1","1","8421","1203"
"result","path","totalFrames","framesWithDifferences","totalDifferences","framesWithLeftMissing","framesWithRightMissing","totalLeftMissing","totalRightMissing"
"Complete","animations/iwp-packaged/Charged Particle Motion/cp-unknown-1.iwp","302","0","0","1","1","2709","903"
"result","path","totalFrames","framesWithDifferences","totalDifferences","framesWithLeftMissing","framesWithRightMissing","totalLeftMissing","totalRightMissing"
"Complete","animations/iwp-packaged/Charged Particle Motion/cp-mfield.iwp","1001","834","1620","1","1","9000","3000"
"result","path","totalFrames","framesWithDifferences","totalDifferences","framesWithLeftMissing","framesWithRightMissing","totalLeftMissing","totalRightMissing"
"Complete","animations/iwp-packaged/Charged Particle Motion/velocity-selector-02.iwp","402","304","586","1","1","3609","1203"
"result","path","totalFrames","framesWithDifferences","totalDifferences","framesWithLeftMissing","framesWithRightMissing","totalLeftMissing","totalRightMissing"
"Complete","animations/iwp-packaged/Charged Particle Motion/cpchall03.iwp","1001","847","847","1","1","5000","0"
"result","path","totalFrames","framesWithDifferences","totalDifferences","framesWithLeftMissing","framesWithRightMissing","totalLeftMissing","totalRightMissing"
"Complete","animations/iwp-packaged/Charged Particle Motion/em-ratio-2b.iwp","202","201","3784","1","1","3015","201"
"result","path","totalFrames","framesWithDifferences","totalDifferences","framesWithLeftMissing","framesWithRightMissing","totalLeftMissing","totalRightMissing"
"Complete","animations/iwp-packaged/Charged Particle Motion/em-ratio-1.iwp","202","201","8824","1","1","4221","402"
"result","path","totalFrames","framesWithDifferences","totalDifferences","framesWithLeftMissing","framesWithRightMissing","totalLeftMissing","totalRightMissing"
"Complete","animations/iwp-packaged/Charged Particle Motion/cp-template.iwp","1001","980","1833","1","1","5000","2000"
"result","path","totalFrames","framesWithDifferences","totalDifferences","framesWithLeftMissing","framesWithRightMissing","totalLeftMissing","totalRightMissing"
"Complete","animations/iwp-packaged/Charged Particle Motion/em-ratio-1b.iwp","202","200","798","1","1","1809","402"
"result","path","totalFrames","framesWithDifferences","totalDifferences","framesWithLeftMissing","framesWithRightMissing","totalLeftMissing","totalRightMissing"
"Complete","animations/iwp-packaged/Charged Particle Motion/cpchall02.iwp","1001","847","847","1","1","5000","0"
"Exception","animations/iwp-packaged/Electrostatics/coulombslaw01.iwp","iwp5:851 Compiled vars are not finite in <eval> at line number 707 at column number 12"
"result","path","totalFrames","framesWithDifferences","totalDifferences","framesWithLeftMissing","framesWithRightMissing","totalLeftMissing","totalRightMissing"
"Complete","animations/iwp-packaged/Electrostatics/efield-plot-02.iwp","102","1","4","1","1","1919","0"
"result","path","totalFrames","framesWithDifferences","totalDifferences","framesWithLeftMissing","framesWithRightMissing","totalLeftMissing","totalRightMissing"
"Complete","animations/iwp-packaged/Electrostatics/efield-plot-02b.iwp","22","1","4","1","1","315","0"
"result","path","totalFrames","framesWithDifferences","totalDifferences","framesWithLeftMissing","framesWithRightMissing","totalLeftMissing","totalRightMissing"
"Complete","animations/iwp-packaged/Electrostatics/efield-plot-02c.iwp","1001","1","4","1","1","15000","0"
"result","path","totalFrames","framesWithDifferences","totalDifferences","framesWithLeftMissing","framesWithRightMissing","totalLeftMissing","totalRightMissing"
"Complete","animations/iwp-packaged/Electrostatics/efield-plot-02a.iwp","22","1","2","1","1","189","0"
"Exception","animations/iwp-packaged/Electrostatics/coulombslaw03.iwp","Error: Undefined symbol d2 in <eval> at line number 707 at column number 12"
"Exception","animations/iwp-packaged/Electrostatics/coulombslaw02.iwp","Error: Undefined symbol d2 in <eval> at line number 707 at column number 12"
"result","path","totalFrames","framesWithDifferences","totalDifferences","framesWithLeftMissing","framesWithRightMissing","totalLeftMissing","totalRightMissing"
"Complete","animations/iwp-packaged/Electrostatics/inverse-r-squared-test.iwp","12","1","6","1","1","121","0"
"result","path","totalFrames","framesWithDifferences","totalDifferences","framesWithLeftMissing","framesWithRightMissing","totalLeftMissing","totalRightMissing"
"Complete","animations/iwp-packaged/Forces/leaf.iwp","502","0","0","1","1","2505","1002"
"Exception","animations/iwp-packaged/Forces/stopblock01.iwp","Error: Undefined symbol tf in <eval> at line number 707 at column number 12"
"Exception","animations/iwp-packaged/Forces/fallcompare-template.iwp","TypeError: Cannot read property "@attributes" from undefined in <eval> at line number 981"
"result","path","totalFrames","framesWithDifferences","totalDifferences","framesWithLeftMissing","framesWithRightMissing","totalLeftMissing","totalRightMissing"
"Complete","animations/iwp-packaged/Forces/turntable05.iwp","1001","1","2","1","524","5247","0"
"Exception","animations/iwp-packaged/Forces/projectile-drag-lift-2.iwp","TypeError: Unexpected type of argument in function pow (expected: number or Complex or BigNumber or Fraction or Unit or Array or Matrix, actual: undefined, index: 0) in <eval> at line number 707 at column number 12"
"Exception","animations/iwp-packaged/Forces/projectile-drag-2.iwp","Error: No access to property "xvel" in <eval> at line number 707 at column number 12"
"result","path","totalFrames","framesWithDifferences","totalDifferences","framesWithLeftMissing","framesWithRightMissing","totalLeftMissing","totalRightMissing"
"Complete","animations/iwp-packaged/Forces/hookeslaw03.iwp","502","1","5","1","1","10521","0"
"Exception","animations/iwp-packaged/Forces/fallcompare-simulation.iwp","TypeError: Cannot read property "@attributes" from undefined in <eval> at line number 981"
"Exception","animations/iwp-packaged/Forces/incplane04.iwp","edu.ncssm.iwp.exceptions.XMLParserException: Invalid byte 2 of 2-byte UTF-8 sequence."
"Exception","animations/iwp-packaged/Forces/mass-bppb-3.iwp","Error: Undefined symbol vtc in <eval> at line number 707 at column number 12"
